country,Region,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,Adults (ages 15-49) newly infected with HIV,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),"Automated teller machines (ATMs) (per 100,000 adults)",Average transaction cost of sending remittances from a specific country (%),Average transaction cost of sending remittances to a specific country (%),Bank capital to assets ratio (%),Bank liquid reserves to bank assets ratio (%),Bank nonperforming loans to total gross loans (%),"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","Commercial bank branches (per 100,000 adults)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Consumer price index (2010 = 100),Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (national estimate)",Final consumption expenditure (% of GDP),Final consumption expenditure (annual % growth),Final consumption expenditure (constant 2010 US$),Final consumption expenditure (constant LCU),Final consumption expenditure (current LCU),Final consumption expenditure (current US$),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),GDP (constant 2010 US$),GDP growth (annual %),GDP per capita (constant 2010 US$),GNI (constant 2010 US$),GNI growth (annual %),GNI per capita (constant 2010 US$),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Individuals using the Internet (% of population),"Labor force, total",Military expenditure (% of GDP),Population density (people per sq. km of land area),Population growth (annual %),"Population, female","Population, male","Population, total",Ratio of female to male labor force participation rate (%) (national estimate),"Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Women Business and the Law Index Score (scale 1-100)
China,EasternAsia,,,42.20722862,17.01974682,25.18748181,760000000.0,811000000.0,87.87694197,,8.43351,9.239362769,,1.839619692,37781733950.0,8554460470.0,8.79,65.39381038,36.1075239,128.1094436,,182.4326259,182.4326259,,,,,,,,-0.910185149,6034350000000.0,49043900000000.0,,,483550000.0,33.59563762,181908000.0,12.63843501,11785000000000.0,2.3,8405.180473,,,,757724000000.0,0.653102636,70.64214286,770950792,1.749795773,148.7698885,0.314091093,682951049,719160951,1402112000,,3357240000000.0,5.0,861289359,75.625
Colombia,SouthAmerica,9300.0,8500.0,45.44213103,13.17787399,32.26425704,4000000.0,77000000.0,41.14888142,,4.941951,16.32989404,6.645718894,4.80223084,1096625703.0,120990488.3,13.5,47.24808774,36.95294513,144.508836,,54.08468484,54.06441235,40.7,66.62,53.27,25.57,42.85,34.2,87.45504153,-4.070522353,312683000000.0,724294000000000.0,876813000000000.0,237307000000.0,7764772.0,15.26008418,7248026.0,14.24452475,367804000000.0,-6.847314206,7228.436546,360681000000.0,-6.61032264,7088.464073,706728634.0,0.604330301,,24802460,3.375763519,45.86109419,1.073767493,25898320,24984564,50882884,66.2363325,58499477957.0,15.44,41431388,81.875
Denmark,NorthernEurope,200.0,200.0,57.34583486,31.72720054,25.61863432,,65000000.0,42.56495867,,,6.634976407,2.537138036,1.816001736,1529841633.0,3867453801.0,18.66,35.54871095,44.30508743,110.8115347,,163.8014123,163.8014123,54.29,62.85,58.52,53.95,52.53,53.23,70.33559155,-1.319471148,264913000000.0,1558170000000.0,1634370000000.0,249821000000.0,2571736.0,44.39997086,937469.0,16.1850191,372511000000.0,-2.733288945,63880.09366,383595000000.0,-2.69884409,65780.85525,10497046561.0,0.755094826,96.54914573,3022416,1.442268139,145.7851,0.291641177,2932556,2898848,5831404,86.98599187,72823350927.0,5.66,5138400,100.0
Ecuador,SouthAmerica,2100.0,1800.0,53.8059722,11.67555358,42.13041862,,23000000.0,,,4.802712,,12.10618775,,132205569.0,3820186.0,,14.06082333,24.12422889,123.7219895,50.53638502,47.59480906,44.89673459,44.88,68.47,56.42,25.36,44.18,35.35,75.10339799,-6.817382082,61839665424.0,51773117000.0,74208173000.0,74208173000.0,2346923.0,13.30224915,2063044.0,11.69323633,81657668888.0,-7.750123377,4628.31668,79278149312.0,-7.836348649,4493.446676,,0.594254851,,8019239,2.410351528,71.03825093,1.538741142,8819233,8823827,17643060,67.00332042,6569460539.0,6.23,11320846,89.375
Egypt,NorthernAfrica,3300.0,2900.0,64.61639042,8.776820938,55.83956948,,1311000000.0,22.06102338,,4.925028,,31.24032924,,297000000.0,0.0,6.76,16.53624368,26.01920802,303.1310772,,27.2632851,27.2632851,,,,,,,93.76975945,7.248873195,280187000000.0,3735800000000.0,5457400000000.0,340449000000.0,9349469.0,9.136193337,9858331.0,9.633447418,312970000000.0,3.569669475,3058.310718,303157000000.0,4.12519254,2962.419118,350304530.0,0.494374663,71.9142004,29077255,1.224172373,102.8021528,1.920247637,50631541,51702862,102334403,,38972812937.0,10.45,43781728,45.0
Ethiopia,EasternAfrica,12000.0,8500.0,76.84882718,6.254955451,70.59387173,,,,,6.889398,7.15636507,,3.429771877,,,,,,,,,,,,,,,,79.08681052,21.52814563,,2261580000000.0,2668670000000.0,85133040141.0,,,,,71633249862.0,6.056617792,623.0951402,,6.055346769,,,0.382784843,,52799277,0.481146129,101.8007113,2.541386464,57446748,57516835,114963583,,3046114359.0,2.79,24941349,76.875
France,WesternEurope,,,62.35640565,33.69456444,28.6618412,1995000000.0,145000000.0,93.5227748,6.297169,,6.181056379,,2.705338997,12423182138.0,14660286102.0,33.2,59.68040368,59.41235745,110.5729469,,123.7333295,121.1914099,46.6,54.07,50.17,26.46,30.42,28.46,78.15701725,-5.957793352,2169720000000.0,1701310000000.0,1781160000000.0,2034430000000.0,30627000.0,46.92102436,37759000.0,57.84735557,2730750000000.0,-8.114907097,40520.6518,,,,87649838585.0,0.762737215,,30033626,2.073321427,123.076834,0.211906588,34777344,32614238,67391582,86.09080088,224236000000.0,8.62,54570334,100.0
Germany,WesternEurope,2600.0,2200.0,55.38336207,33.69868851,21.68467356,1232000000.0,33000000.0,,7.474371,,5.93,,,16026253188.0,35863331279.0,9.37,61.23754217,58.15614939,113.4267116,,86.62223196,86.14882526,54.91,63.74,59.25,46.92,49.28,48.15,73.82854725,-3.454663661,2836840000000.0,2292110000000.0,2460140000000.0,2809960000000.0,36040739.0,43.01628467,38300000.0,45.7128169,3751240000000.0,-4.89654545,45065.08246,3859480000000.0,-4.756769171,46365.43284,180664000000.0,0.751162469,89.81294133,43382544,1.399730368,238.252118,0.177430344,42093236,41147289,83240525,85.42011123,268409000000.0,4.31,64472284,97.5
Ghana,WesternAfrica,19000.0,14000.0,67.42427908,5.257707118,62.16657196,,,,8.16461,7.425389,,36.58166758,,,,,,,273.1700257,,10.87825539,9.933442793,,,,,,,,,,,,,78371.0,0.252216237,307668.0,0.990147698,57430579781.0,0.414443468,1848.250296,,,,,0.450056404,,12934257,0.446156223,136.560363,2.130763473,15322946,15749999,31072945,,7884091539.0,4.53,17820023,75.0
Greece,SouthernEurope,980.0,1000.0,56.10441896,34.78692147,21.3174975,17000000.0,85000000.0,63.87640963,,,8.832371719,,26.97804432,320133707.8,58531027.32,18.22,17.34539508,21.027939,100.6771128,,82.08598987,81.84055745,34.9,51.06,42.69,11.72,15.86,13.79,94.10146406,-3.406149346,217467000000.0,156630000000.0,156048000000.0,178238000000.0,4257026.0,40.84240569,4743310.0,45.5078713,231212000000.0,-8.247736115,21577.20799,,,,2006972041.0,0.690006495,78.11584474,4751026,2.795563146,83.13071373,-0.056285518,5456162,5259387,10715549,73.67084321,11931180005.0,16.85,8541900,97.5
India,SouthernAsia,,,48.66462031,9.77304664,38.89157367,151000000.0,2799000000.0,21.49654932,3.954183,5.406043,8.103839108,,7.938830725,7241107557.0,1253654725.0,14.74,80.11352743,66.14530175,184.3288151,,55.25091376,55.25091376,,,,,,,71.6508116,-7.112123787,1841390000000.0,91619400000000.0,140336000000000.0,1879390000000.0,22290000.0,1.615212259,20052162.0,1.4530506,2706600000000.0,-7.964610411,1961.298711,2680900000000.0,-7.96658868,1942.673932,21662006256.0,0.493510902,,471688990,2.8826704,464.1494102,0.9894138,662903415,717100970,1380004385,,590227000000.0,7.11,481980332,74.375
Indonesia,South-easternAsia,28000.0,24000.0,47.48940519,9.236543539,38.25286165,,270000000.0,51.65993668,,6.569041,14.79936547,23.64400806,2.750600762,1640504467.0,83574614.73,15.22,54.23441672,55.33402903,154.0807306,53.71126821,38.68833111,33.15493062,51.19,77.8,64.48,33.29,46.77,40.14,68.25754883,-2.098435146,746166000000.0,6782970000000000.0,1.0535e+16,722454000000.0,10713107.0,3.916702768,9186370.0,3.358529025,1179530000000.0,-2.069543499,4312.353082,1149340000000.0,-1.682170975,4201.980379,6415055077.0,0.540038466,53.72649449,134616083,0.860574024,145.6835435,1.065178986,135805760,137717861,273523621,65.2360515,135916000000.0,4.11,154926514,64.375
Iraq,WesternAsia,,,69.94223676,5.850651617,64.09158514,,1000000.0,,,,,,,4900000.0,100000.0,5.63,60.05430899,5.447075423,,,,,,,,,,,,,,,,,5453799.0,13.5590775,4166461.0,10.35853496,198178000000.0,-10.36509018,4927.048308,,,,,0.407643288,,10356947,4.054752512,92.65125263,2.29530433,19864725,20357778,40222503,,65340042658.0,13.74,28514939,45.0
Ireland,NorthernEurope,500.0,500.0,54.82323599,22.57004706,32.25318893,,11000000.0,,,,11.35788728,,3.540636618,,,,,,106.2277116,,33.00545519,33.00545519,51.98,63.6,57.69,36.51,37.5,37.01,38.75038308,-4.526555972,167059000000.0,131840000000.0,142023000000.0,162218000000.0,1516252.0,30.70712258,1678651.0,33.99602575,406056000000.0,3.417815527,81297.06695,,,,42492086043.0,0.792599022,91.99989097,2427093,0.2874877,72.50288866,1.216322998,2515113,2479611,4994724,81.77500742,7463044895.0,5.92,3179292,100.0
Israel,WesternAsia,,,67.34389298,20.77465249,46.56924049,345000000.0,474000000.0,133.298697,12.314092,,6.746874027,34.71491984,1.475994926,1669800000.0,1655600000.0,16.15,87.7028407,67.61207505,107.539896,,,69.44665083,55.81000137,62.56000137,59.11999893,39.68000031,38.25,38.93999863,73.89179966,-5.868260021,244307000000.0,989293000000.0,1022430000000.0,297011000000.0,2602079.0,30.06260156,3080000.0,35.58416666,311692000000.0,-2.439985916,33817.41824,,,,12780723000.0,0.733995318,,4136200,5.624526933,425.9195933,1.783210642,4629378,4587522,9216900,,173292000000.0,4.61,8533651,80.625
Italy,SouthernEurope,2500.0,2200.0,56.9592203,36.57447031,20.38474998,806000000.0,131000000.0,90.30758245,6.149526,,6.603312223,,4.359720737,4096757343.0,4243284776.0,37.63,54.85799094,53.19196839,110.4712586,,83.57933292,82.4953504,35.78,52.95,44.07,12.81,20.53,16.83,78.8382248,-7.801800748,1572350000000.0,1256440000000.0,1302090000000.0,1487240000000.0,17855620.0,29.53205548,19430559.0,32.13690404,1959440000000.0,-8.871146348,32901.88292,1979950000000.0,-8.715831883,33246.26766,34865442787.0,0.727819681,,25080671,1.567524891,200.0269472,-0.293517053,30558291,28995732,59554023,68.92733564,210687000000.0,9.31,42306582,97.5
Japan,EasternAsia,600.0,1000.0,69.04978924,48.00553094,21.0442583,,724000000.0,121.7050695,10.582221,,,38.13068033,,28218283570.0,43038454714.0,33.92,68.72594415,72.02442327,105.4649055,,,,51.83,69.28,60.25,47.2,45.67,46.41,,,,,,,43633244.0,34.49910256,62252837.0,49.22088783,,,,,,,102966000000.0,0.804714262,,68680759,0.996825438,345.2291385,-0.340268778,64395674,61440347,125836021,74.50980392,1390810000000.0,2.97,115494817,81.875
Kazakhstan,CentralAsia,3700.0,3200.0,58.84859739,12.5534886,46.29510878,,268000000.0,95.78124551,,1.398,,43.01511151,,146183995.0,1398980.0,2.4,15.85669304,59.5727568,201.2394119,40.48295125,25.82344819,22.18131215,60.3,72.1,65.9,,,,,,,,,,2616500.0,13.93481828,3108400.0,16.55455347,207706000000.0,-2.6,11075.00816,,,,,0.628506422,85.94259898,8778458,1.054852453,6.946860762,1.29209842,9652308,9102132,18754440,84.37086093,35638096635.0,6.05,10815873,69.375
Kenya,EasternAfrica,33000.0,27000.0,69.77580096,4.259990845,65.51581011,,60000000.0,7.304405465,9.538119,8.448205,14.61677573,7.174458549,14.13866299,,,4.67,,,200.2336423,,32.74000985,32.70850818,,,,,,,,,,,,,674191.0,1.253812071,66646.0,0.123943451,64860101745.0,-0.30749749,1206.221567,,,,85972271.0,0.546752512,,23738918,1.104839819,94.47816003,2.251879431,27052773,26718527,53771300,,8297263559.0,2.98,15053275,80.625
Malaysia,South-easternAsia,6100.0,5700.0,44.15828212,10.35587536,33.80240676,,55000000.0,55.56412092,4.18124,4.80482,11.63881523,7.071139078,1.566621458,2379590914.0,231515332.1,8.97,66.82710171,47.18840918,120.0799867,,134.1417111,134.1103916,,,,,,,73.88127608,-2.871465599,269743000000.0,979193000000.0,1045540000000.0,248732000000.0,3358800.0,10.37755702,7467900.0,23.0732875,376654000000.0,-5.587744678,11637.3512,369819000000.0,-4.786290729,11426.15541,92123577046.0,0.61097616,89.55501192,15904215,1.136284199,98.51163598,1.294285057,15735185,16630813,32365998,,107644000000.0,4.55,24973604,50.0
Mexico,CentralAmerica,20000.0,18000.0,50.27056808,11.44776791,38.82280017,,257000000.0,62.1348707,,4.179567,10.65378567,7.442832068,2.429199156,329131627.0,7648358.0,12.79,2.310163738,18.88332579,146.3504877,64.17309402,38.65694091,29.00915271,39.23,68.25,53.01,26.13,47.15,36.7,76.42904912,-8.518505004,921353000000.0,13445500000000.0,17671900000000.0,822501000000.0,21206911.0,16.44804017,23800105.0,18.45931654,1201950000000.0,-8.239473277,9322.335713,1159540000000.0,-8.827351274,8993.380996,69544184531.0,0.612949848,71.97,53978977,0.573651659,66.32513851,1.058240034,65861267,63071486,128932753,57.13687151,199069000000.0,4.71,104088701,88.75
Morocco,NorthernAfrica,720.0,1000.0,52.38010744,11.59101335,40.78909409,,7000000.0,28.61228953,,6.443497,,3.711255243,,151547176.9,10377171.24,24.17,51.15949514,31.00353506,111.8516604,,,71.06382211,,,,,,,78.492787,-5.309380157,91856238933.0,732950000000.0,841372000000.0,88595273124.0,2102434.0,5.696023035,2357286.0,6.386481267,117286000000.0,-7.117232169,3126.964069,115446000000.0,-6.717407285,3077.899418,,0.504116356,84.12036305,11523035,4.281028881,82.70346852,1.195920777,18593671,18316887,36910558,,35997639773.0,10.15,23450016,75.625
Nepal,SouthernAsia,750.0,1000.0,52.99376863,8.916701729,44.0770669,,,19.79503318,,4.537874,10.58128151,8.975850073,1.677216698,,,21.52,69.70466177,17.7992268,198.2653074,,87.8527117,87.75361531,,,,,,,93.65452748,3.616654788,20241569976.0,2035010000000.0,3666290000000.0,31521468736.0,,,,,24262542368.0,-2.088378695,832.7110632,24554425781.0,-1.981628901,842.7287499,,0.504601777,,16017418,1.363585634,203.2564213,1.829086293,15788373,13348435,29136808,,11467799302.0,4.44,5995190,80.625
Netherlands,WesternEurope,500.0,500.0,55.60927671,31.17604023,24.43323647,488000000.0,610000000.0,36.02766342,7.303608,,5.87976271,,1.887741059,45372589890.0,46304894463.0,6.99,72.22719004,72.84667755,117.3828783,,101.064264,101.0640136,57.51,66.75,62.08,63.56,61.44,62.48,68.00972612,-3.900568347,620369000000.0,494885000000.0,543176000000.0,620414000000.0,7525016.0,43.91638292,4937000.0,28.81258757,925799000000.0,-3.741328235,53081.31101,,,,87609061205.0,0.789915025,91.33333333,9387604,1.42324474,518.0023463,0.553470993,8751402,8689737,17441139,86.38199654,53971404675.0,4.09,16087009,97.5
Nigeria,WesternAfrica,86000.0,61000.0,85.96235196,5.091768374,80.87058358,,125000000.0,,16.096088,7.065818,6.262093004,69.05273527,6.024515462,252840000.0,0.0,,6.127430118,37.95642452,,,12.13184984,11.22806863,,,,,,,78.34186932,7.420573369,333182000000.0,50340300000000.0,120844000000000.0,338667000000.0,65313.0,0.03168387,107031.0,0.051921613,468600000000.0,-1.794253082,2273.218561,454834000000.0,-2.207016563,2206.434649,,0.360609829,,62242961,0.627907835,226.335504,2.542973405,101669950,104469637,206139587,,36729565818.0,9.01,107106007,63.125
Norway,NorthernEurope,100.0,100.0,53.33583597,26.87452826,26.46130771,72000000.0,450000000.0,,4.0834,,,0.762753005,0.736074194,692362107.4,401635079.8,,39.84088306,57.96380708,121.8170301,165.7128582,165.8295332,140.5203168,59.44,62.48,61.01,49.84,48.8,49.3,70.28119331,-4.331013322,310931000000.0,2117770000000.0,2395620000000.0,254424000000.0,2387661.0,44.04270166,348808.0,6.434098761,488912000000.0,-0.762477535,90884.6146,509018000000.0,0.472418351,94622.3294,4134524341.0,0.771051168,97.00000121,2836708,1.936619898,14.7339341,0.588757324,2660602,2718873,5379475,94.5842868,75258813465.0,4.62,4463566,96.875
Pakistan,SouthernAsia,25000.0,22000.0,64.38774135,7.14864722,57.23909413,,759000000.0,,15.509316,4.019404,7.239382727,14.79967012,9.185791218,183000000.0,11000000.0,,73.02404517,45.68848148,200.078979,,17.12766575,17.01319776,,,,,,,91.64833687,-2.006136106,244363000000.0,12181600000000.0,38241800000000.0,241664000000.0,2423057.0,1.096940256,2876794.0,1.302351182,258078000000.0,0.525527439,1168.342974,252434000000.0,0.370705999,1142.790876,309393334.0,0.406070024,,72334842,4.024714006,286.5456764,1.978319567,107220324,113672007,220892331,,18521734364.0,4.65,82094635,55.625
Peru,SouthAmerica,4100.0,3700.0,50.18939111,13.1044181,37.08497301,,19000000.0,124.2952588,,6.158007,10.51474674,40.78175054,4.127608566,,,6.0,,,132.1544785,,55.14749585,55.14702673,52.90000153,67.91999817,60.38999939,39.97000122,48.34999847,44.22999954,80.94699867,-6.059968114,153221000000.0,397139000000.0,571502000000.0,163525000000.0,,,,,187457000000.0,-11.14881188,5685.370839,181470000000.0,-10.23607116,5503.792648,,0.605192661,65.25179879,16181966,1.340058514,25.75925469,1.409210058,16593240,16378606,32971846,76.57150173,,6.24,25815966,95.0
Philippines,South-easternAsia,17000.0,16000.0,55.16945504,8.552394618,46.61706042,,349000000.0,29.71693501,,4.567668,11.13870317,28.45739611,3.531958517,519270901.1,15258017.75,9.17,87.73640544,41.7082276,133.0288632,100.4133157,51.89004682,51.89004346,41.38000107,65.25,53.36999893,21.28000069,34.43000031,28.01000023,90.41557606,-5.239213324,275137000000.0,15566700000000.0,16219300000000.0,326843000000.0,,,,,326553000000.0,-9.573029875,2980.015814,350416000000.0,-11.39981691,3197.778021,32818761665.0,0.515962124,,43719193,1.012423923,367.5121072,1.345429965,54552260,55028825,109581085,,109990000000.0,3.36,51950201,78.75
Poland,EasternEurope,,,51.4168588,28.37468828,23.04217052,13000000.0,193000000.0,67.84341693,,3.736047,9.49158625,14.01032832,3.712336056,3593000000.0,1139000000.0,25.73,57.59803557,59.8911612,117.9624468,,50.24416412,50.24308518,46.32,63.07,54.32,24.22,32.34,28.39,75.92548236,-1.559495891,489273000000.0,1475300000000.0,1759260000000.0,451122000000.0,8212601.0,21.69969988,5777428.0,15.26537739,643085000000.0,-2.701709195,16945.23518,623012000000.0,-1.753925405,16416.29456,20276511776.0,0.753088593,86.83692746,18204932,2.217350661,123.9533658,-0.038655742,19562432,18388370,37950802,73.62434676,154219000000.0,3.55,22786800,93.75
